source,target,act_scene,type
1,24,5.1,undirected
1,35,5.1,undirected
24,35,5.1,undirected
2,4,1.4,undirected
2,5,1.4,undirected
2,16,1.4,undirected
2,17,1.4,undirected
2,24,1.4,undirected
4,5,1.4,undirected
4,16,1.4,undirected
4,17,1.4,undirected
4,24,1.4,undirected
5,16,1.4,undirected
5,17,1.4,undirected
5,24,1.4,undirected
16,17,1.4,undirected
16,24,1.4,undirected
17,24,1.4,undirected
3,4,1.1,undirected
3,6,1.1,undirected
3,8,1.1,undirected
3,14,1.1,undirected
3,15,1.1,undirected
3,18,1.1,undirected
3,23,1.1,undirected
3,24,1.1,undirected
3,27,1.1,undirected
3,29,1.1,undirected
3,33,1.1,undirected
3,34,1.1,undirected
3,38,1.1,undirected
4,6,1.1,undirected
4,8,1.1,undirected
4,14,1.1,undirected
4,15,1.1,undirected
4,18,1.1,undirected
4,23,1.1,undirected
4,24,1.1,undirected
4,27,1.1,undirected
4,29,1.1,undirected
4,33,1.1,undirected
4,34,1.1,undirected
4,38,1.1,undirected
6,8,1.1,undirected
6,14,1.1,undirected
6,15,1.1,undirected
6,18,1.1,undirected
6,23,1.1,undirected
6,24,1.1,undirected
6,27,1.1,undirected
6,29,1.1,undirected
6,33,1.1,undirected
6,34,1.1,undirected
6,38,1.1,undirected
8,14,1.1,undirected
8,15,1.1,undirected
8,18,1.1,undirected
8,23,1.1,undirected
8,24,1.1,undirected
8,27,1.1,undirected
8,29,1.1,undirected
8,33,1.1,undirected
8,34,1.1,undirected
8,38,1.1,undirected
14,15,1.1,undirected
14,18,1.1,undirected
14,23,1.1,undirected
14,24,1.1,undirected
14,27,1.1,undirected
14,29,1.1,undirected
14,33,1.1,undirected
14,34,1.1,undirected
14,38,1.1,undirected
15,18,1.1,undirected
15,23,1.1,undirected
15,24,1.1,undirected
15,27,1.1,undirected
15,29,1.1,undirected
15,33,1.1,undirected
15,34,1.1,undirected
15,38,1.1,undirected
18,23,1.1,undirected
18,24,1.1,undirected
18,27,1.1,undirected
18,29,1.1,undirected
18,33,1.1,undirected
18,34,1.1,undirected
18,38,1.1,undirected
23,24,1.1,undirected
23,27,1.1,undirected
23,29,1.1,undirected
23,33,1.1,undirected
23,34,1.1,undirected
23,38,1.1,undirected
24,27,1.1,undirected
24,29,1.1,undirected
24,33,1.1,undirected
24,34,1.1,undirected
24,38,1.1,undirected
27,29,1.1,undirected
27,33,1.1,undirected
27,34,1.1,undirected
27,38,1.1,undirected
29,33,1.1,undirected
29,34,1.1,undirected
29,38,1.1,undirected
33,34,1.1,undirected
33,38,1.1,undirected
34,38,1.1,undirected
3,6,5.3,undirected
3,11,5.3,undirected
3,11,5.3,undirected
3,13,5.3,undirected
3,14,5.3,undirected
3,18,5.3,undirected
3,21,5.3,undirected
3,23,5.3,undirected
3,24,5.3,undirected
3,35,5.3,undirected
3,36,5.3,undirected
3,36,5.3,undirected
3,39,5.3,undirected
3,40,5.3,undirected
3,41,5.3,undirected
6,11,5.3,undirected
6,11,5.3,undirected
6,13,5.3,undirected
6,14,5.3,undirected
6,18,5.3,undirected
6,21,5.3,undirected
6,23,5.3,undirected
6,24,5.3,undirected
6,35,5.3,undirected
6,36,5.3,undirected
6,36,5.3,undirected
6,39,5.3,undirected
6,40,5.3,undirected
6,41,5.3,undirected
11,11,5.3,undirected
11,13,5.3,undirected
11,14,5.3,undirected
11,18,5.3,undirected
11,21,5.3,undirected
11,23,5.3,undirected
11,24,5.3,undirected
11,35,5.3,undirected
11,36,5.3,undirected
11,36,5.3,undirected
11,39,5.3,undirected
11,40,5.3,undirected
11,41,5.3,undirected
11,13,5.3,undirected
11,14,5.3,undirected
11,18,5.3,undirected
11,21,5.3,undirected
11,23,5.3,undirected
11,24,5.3,undirected
11,35,5.3,undirected
11,36,5.3,undirected
