,Company Name,Address,City,State,ZIP_Code,Record_Type,Neighborhood,Carrier_Route,helper,latitude,longitude
0,A R Z Mediterranean Pizza LLC,883 Whalley Ave,New Haven,CT,6515,Verified,Westville,C060,883 Whalley Ave New Haven CT 6515,41.3270574,-72.95964
1,Abate Apizza & Seafood Rstrnt,129 Wooster St,New Haven,CT,6511,Verified,Wooster Square - Mill River,C046,129 Wooster St New Haven CT 6511,41.3031201,-72.9160165
2,Aladdin Crown Pizza,260 Crown St,New Haven,CT,6511,Verified,,C025,260 Crown St New Haven CT 6511,41.306094,-72.930638
3,Alpha Delta Pizza,371 Elm St,New Haven,CT,6511,Verified,Dwight,C037,371 Elm St New Haven CT 6511,41.3120639,-72.9332479
4,Amity Pizza,144 Amity Rd,New Haven,CT,6515,Verified,Amity,C012,144 Amity Rd New Haven CT 6515,41.3376819,-72.9820486
5,Apizza Grande,630 Washington Ave,New Haven,CT,6519,Verified,,C001,630 Washington Ave New Haven CT 6519,41.2941,-72.9384993
6,Avelino's Pizza,382 Grand Ave,New Haven,CT,6513,Verified,Fair Haven,C014,382 Grand Ave New Haven CT 6513,41.3083032,-72.9025353
7,Avellino's Apizza,384 Grand Ave,New Haven,CT,6513,Verified,Fair Haven,C014,384 Grand Ave New Haven CT 6513,41.3084077,-72.9026047
8,Ayah Halal Pizza Inc,831 Orange St,New Haven,CT,6511,Verified,East Rock,C008,831 Orange St New Haven CT 6511,41.3229239,-72.9106894
9,Bar,254 Crown St,New Haven,CT,6511,Verified,Downtown New Haven,C025,254 Crown St New Haven CT 6511,41.3061295,-72.9303245
11,Blaze Pizza,40 Sargent Dr,New Haven,CT,6511,Verified,Long Wharf,C046,40 Sargent Dr New Haven CT 6511,41.2870702,-72.9277655
12,Brick Oven Pizza,122 Howe St,New Haven,CT,6511,Verified,Downtown New Haven,C037,122 Howe St New Haven CT 6511,41.3121822,-72.9338413
13,Burning Peel,147 Willow St,New Haven,CT,6511,Verified,East Rock,C023,147 Willow St New Haven CT 6511,41.320929,-72.9086666
14,Caffe Bravo,794 Orange St,New Haven,CT,6511,Verified,East Rock,C008,794 Orange St New Haven CT 6511,41.322279,-72.9119049
15,Carmine Tuscan Grill-New Haven,1500 Whalley Ave,New Haven,CT,6515,Verified,Amity,C012,1500 Whalley Ave New Haven CT 6515,41.3356156,-72.9770598
